file_id,accent
20000,2
20001,1
20002,0
20003,2
20004,1
20005,2
20006,0
20007,2
20008,2
20009,2
20010,2
20011,1
20012,1
20013,0
20014,0
20015,2
20016,2
20017,0
20018,1
20019,2
20020,0
20021,1
20022,0
20023,2
20024,1
20025,2
20026,2
20027,0
20028,1
20029,2
20030,1
20031,1
20032,0
20033,0
20034,1
20035,0
20036,2
20037,2
20038,2
20039,1
20040,0
20041,2
20042,0
20043,2
20044,2
20045,1
20046,0
20047,0
20048,1
20049,0
20050,2
20051,0
20052,0
20053,0
20054,0
20055,2
20056,0
20057,0
20058,1
20059,2
20060,0
20061,0
20062,0
20063,2
20064,0
20065,0
20066,2
20067,1
20068,1
20069,2
20070,0
20071,1
20072,0
20073,2
20074,0
20075,0
20076,0
20077,0
20078,2
20079,2
20080,1
20081,0
20082,0
20083,0
20084,0
20085,1
20086,0
20087,2
20088,2
20089,0
20090,2
20091,2
20092,2
20093,1
20094,0
20095,0
20096,0
20097,2
20098,2
20099,0
20100,0
20101,0
20102,2
20103,2
20104,2
20105,2
20106,2
20107,2
20108,2
20109,0
20110,2
20111,2
20112,0
20113,2
20114,2
20115,1
20116,0
20117,2
20118,2
20119,2
20120,2
20121,2
20122,0
20123,2
20124,2
20125,2
20126,2
20127,1
20128,2
20129,2
20130,0
20131,0
20132,2
20133,2
20134,0
20135,0
20136,0
20137,2
20138,2
20139,2
20140,2
20141,1
20142,2
20143,0
20144,2
20145,2
20146,0
20147,0
20148,2
20149,2
20150,2
20151,0
20152,0
20153,1
20154,2
20155,2
20156,0
20157,2
20158,2
20159,1
20160,1
20161,2
20162,2
20163,0
20164,1
20165,2
20166,0
20167,1
20168,2
20169,0
20170,2
20171,2
20172,2
20173,2
20174,2
20175,0
20176,2
20177,0
20178,0
20179,1
20180,1
20181,2
20182,2
20183,0
20184,1
20185,2
20186,0
20187,1
20188,1
20189,1
20190,2
20191,0
20192,0
20193,2
20194,2
20195,0
20196,2
20197,0
20198,0
20199,0
20200,0
20201,0
20202,0
20203,2
20204,1
20205,0
20206,2
20207,2
20208,2
20209,0
20210,2
20211,2
20212,2
20213,2
20214,2
20215,2
20216,2
20217,1
20218,0
20219,0
20220,0
20221,0
20222,2
20223,0
20224,0
20225,1
20226,0
20227,0
20228,0
20229,2
20230,2
20231,0
20232,0
20233,2
20234,2
20235,2
20236,0
20237,2
20238,0
20239,0
20240,0
20241,0
20242,0
20243,2
20244,0
20245,2
20246,2
20247,1
20248,2
20249,1
20250,2
20251,0
20252,2
20253,0
20254,0
20255,2
20256,2
20257,2
20258,0
20259,2
20260,2
20261,2
20262,1
20263,1
20264,2
20265,2
20266,2
20267,0
20268,2
20269,1
20270,2
20271,1
20272,1
20273,2
20274,1
20275,1
20276,2
20277,0
20278,2
20279,2
20280,2
20281,2
20282,2
20283,2
20284,2
20285,2
20286,0
20287,2
20288,0
20289,2
20290,1
20291,2
20292,0
20293,1
20294,0
20295,2
20296,2
20297,2
20298,0
20299,0
20300,2
20301,0
20302,2
20303,0
20304,0
20305,0
20306,2
20307,2
20308,2
20309,0
20310,0
20311,2
20312,1
20313,0
20314,0
20315,1
20316,2
20317,0
20318,2
20319,2
20320,0
20321,0
20322,2
20323,0
20324,0
20325,0
20326,2
20327,0
20328,2
20329,2
20330,2
20331,0
20332,0
20333,2
20334,2
20335,0
20336,0
20337,0
20338,0
20339,2
20340,0
20341,0
20342,2
20343,2
20344,2
20345,0
20346,0
20347,1
20348,2
20349,0
20350,0
20351,0
20352,0
20353,2
20354,2
20355,2
20356,0
20357,0
20358,0
20359,0
20360,0
20361,0
20362,0
20363,2
20364,2
20365,0
20366,0
20367,2
20368,0
20369,0
20370,2
20371,2
20372,0
20373,2
20374,2
20375,2
20376,2
20377,0
20378,0
20379,0
20380,2
20381,0
20382,0
20383,1
20384,2
20385,0
20386,0
20387,1
20388,0
20389,0
20390,0
20391,0
20392,0
20393,0
20394,2
20395,0
20396,2
20397,1
20398,0
20399,2
20400,0
20401,0
20402,0
20403,0
20404,0
20405,0
20406,2
20407,1
20408,2
20409,0
20410,0
20411,2
20412,0
20413,2
20414,2
20415,2
20416,2
20417,0
20418,0
20419,2
20420,2
20421,0
20422,0
20423,0
20424,2
20425,0
20426,1
20427,0
20428,2
20429,2
20430,0
20431,0
20432,2
20433,2
20434,0
20435,1
20436,2
20437,2
20438,2
20439,2
20440,2
20441,2
20442,0
20443,2
20444,2
20445,0
20446,1
20447,0
20448,0
20449,2
20450,0
20451,1
20452,2
20453,0
20454,1
20455,0
20456,0
20457,2
20458,0
20459,0
20460,2
20461,2
20462,0
20463,2
20464,1
20465,1
20466,1
20467,0
20468,2
20469,1
20470,2
20471,2
20472,0
20473,0
20474,0
20475,2
20476,0
20477,2
20478,0
20479,0
20480,0
20481,2
20482,1
20483,1
20484,0
20485,0
20486,2
20487,0
20488,0
20489,2
20490,2
20491,0
20492,0
20493,2
20494,0
20495,0
20496,2
20497,2
20498,2
20499,2
20500,1
20501,0
20502,0
20503,0
20504,2
20505,1
20506,2
20507,0
20508,2
20509,0
20510,0
20511,1
20512,0
20513,2
20514,2
20515,1
20516,2
20517,0
20518,2
20519,1
20520,0
20521,0
20522,1
20523,0
20524,2
20525,0
20526,2
20527,0
20528,0
20529,2
20530,0
20531,2
20532,2
20533,2
20534,0
20535,2
20536,0
20537,1
20538,0
20539,2
20540,2
20541,0
20542,0
20543,2
20544,0
20545,0
20546,1
20547,1
20548,0
20549,2
20550,0
20551,2
20552,2
20553,0
20554,2
20555,2
20556,0
20557,2
20558,0
20559,1
20560,0
20561,0
20562,0
20563,0
20564,2
20565,0
20566,0
20567,2
20568,2
20569,1
20570,0
20571,0
20572,2
20573,0
20574,1
20575,2
20576,0
20577,1
20578,0
20579,2
20580,0
20581,1
20582,2
20583,0
20584,2
20585,2
20586,2
20587,0
20588,0
20589,2
20590,2
20591,0
20592,2
20593,2
20594,0
20595,0
20596,0
20597,2
20598,0
20599,2
20600,0
20601,2
20602,1
20603,0
20604,1
20605,2
20606,0
20607,0
20608,0
20609,2
20610,0
20611,0
20612,2
20613,0
20614,1
20615,2
20616,2
20617,1
20618,0
20619,0
20620,0
20621,0
20622,0
20623,1
20624,0
20625,2
20626,2
20627,0
20628,2
20629,0
20630,0
20631,0
20632,0
20633,2
20634,0
20635,0
20636,2
20637,0
20638,2
20639,2
20640,0
20641,0
20642,2
20643,2
